Facility,WWTP,Date,Lab,Target_Name,Copies_Per_Liter_WW,Sample_ID,Detection_Limit,Population,Sample_Type,No_of_Hours_Missed,flow
CHOCOLATE BAYOU,CHOCOLATE BAYOU,6/29/2020,R,SARS CoV-2 N1,10120,R009_018,330,37359,Composite,,2.931
CHOCOLATE BAYOU,CHOCOLATE BAYOU,6/29/2020,R,SARS CoV-2 N1,9240,R009_017,330,37359,Composite,,2.931
CHOCOLATE BAYOU,CHOCOLATE BAYOU,6/29/2020,R,SARS CoV-2 N2,9020,R009_018,330,37359,Composite,,2.931
CLINTON PARK,CLINTON PARK,6/29/2020,R,SARS CoV-2 N2,7480,R009_019,330,3825,Composite,,0.474
CLINTON PARK,CLINTON PARK,6/29/2020,R,SARS CoV-2 N2,9020,R009_020,330,3825,Composite,,0.474
CLINTON PARK,CLINTON PARK,6/29/2020,R,SARS CoV-2 N1,9020,R009_020,330,3825,Composite,,0.474
CLINTON PARK,CLINTON PARK,6/29/2020,R,SARS CoV-2 N2,9460,R009_021,330,3825,Composite,,0.474
CLINTON PARK,CLINTON PARK,6/29/2020,R,SARS CoV-2 N1,10560,R009_019,330,3825,Composite,,0.474
CLINTON PARK,CLINTON PARK,6/29/2020,R,SARS CoV-2 N1,10340,R009_021,330,3825,Composite,,0.474
EASTHAVEN,EASTHAVEN,6/29/2020,R,SARS CoV-2 N1,83600,R009_022,330,16030,Composite,,1.429
EASTHAVEN,EASTHAVEN,6/29/2020,R,SARS CoV-2 N2,69080,R009_023,330,16030,Composite,,1.429
EASTHAVEN,EASTHAVEN,6/29/2020,R,SARS CoV-2 N1,84480,R009_023,330,16030,Composite,,1.429
EASTHAVEN,EASTHAVEN,6/29/2020,R,SARS CoV-2 N1,92840,R009_024,330,16030,Composite,,1.429
EASTHAVEN,EASTHAVEN,6/29/2020,R,SARS CoV-2 N2,64020,R009_024,330,16030,Composite,,1.429
EASTHAVEN,EASTHAVEN,6/29/2020,R,SARS CoV-2 N2,58300,R009_022,330,16030,Composite,,1.429
FOREST COVE,FOREST COVE,6/29/2020,R,SARS CoV-2 N2,13640,R009_029,330,4170,Composite,,0.235
FOREST COVE,FOREST COVE,6/29/2020,R,SARS CoV-2 N1,22660,R009_029,330,4170,Composite,,0.235
FOREST COVE,FOREST COVE,6/29/2020,R,SARS CoV-2 N2,25300,R009_030,330,4170,Composite,,0.235
FOREST COVE,FOREST COVE,6/29/2020,R,SARS CoV-2 N1,33220,R009_030,330,4170,Composite,,0.235
FOREST COVE,FOREST COVE,6/29/2020,R,SARS CoV-2 N2,15620,R009_028,330,4170,Composite,,0.235
FOREST COVE,FOREST COVE,6/29/2020,R,SARS CoV-2 N1,19580,R009_028,330,4170,Composite,,0.235
FWSD#23,FWSD#23,6/29/2020,R,SARS CoV-2 N2,19140,R009_025,330,40689,Composite,,2.649
FWSD#23,FWSD#23,6/29/2020,R,SARS CoV-2 N1,27500,R009_025,330,40689,Composite,,2.649
FWSD#23,FWSD#23,6/29/2020,R,SARS CoV-2 N2,21120,R009_026,330,40689,Composite,,2.649
FWSD#23,FWSD#23,6/29/2020,R,SARS CoV-2 N1,23100,R009_026,330,40689,Composite,,2.649
FWSD#23,FWSD#23,6/29/2020,R,SARS CoV-2 N2,29040,R009_027,330,40689,Composite,,2.649
FWSD#23,FWSD#23,6/29/2020,R,SARS CoV-2 N1,28380,R009_027,330,40689,Composite,,2.649
GREENRIDGE,GREENRIDGE,6/29/2020,R,SARS CoV-2 N2,10560,R009_032,330,28742,Composite,,2.298
GREENRIDGE,GREENRIDGE,6/29/2020,R,SARS CoV-2 N1,9240,R009_032,330,28742,Composite,,2.298
GREENRIDGE,GREENRIDGE,6/29/2020,R,SARS CoV-2 N2,13420,R009_031,330,28742,Composite,,2.298
GREENRIDGE,GREENRIDGE,6/29/2020,R,SARS CoV-2 N1,16280,R009_031,330,28742,Composite,,2.298
GREENRIDGE,GREENRIDGE,6/29/2020,R,SARS CoV-2 N1,14080,R009_033,330,28742,Composite,,2.298
GREENRIDGE,GREENRIDGE,6/29/2020,R,SARS CoV-2 N2,10780,R009_033,330,28742,Composite,,2.298
HOMESTEAD,HOMESTEAD,6/29/2020,R,SARS CoV-2 N1,12760,R009_036,330,9375,Composite,,1.08
HOMESTEAD,HOMESTEAD,6/29/2020,R,SARS CoV-2 N1,14740,R009_034,330,9375,Composite,,1.08
HOMESTEAD,HOMESTEAD,6/29/2020,R,SARS CoV-2 N2,10120,R009_036,330,9375,Composite,,1.08
HOMESTEAD,HOMESTEAD,6/29/2020,R,SARS CoV-2 N2,11440,R009_034,330,9375,Composite,,1.08
HOMESTEAD,HOMESTEAD,6/29/2020,R,SARS CoV-2 N2,20680,R009_035,330,9375,Composite,,1.08
HOMESTEAD,HOMESTEAD,6/29/2020,R,SARS CoV-2 N1,21780,R009_035,330,9375,Composite,,1.08
IMPERIAL VALLEY,IMPERIAL VALLEY,6/29/2020,R,SARS CoV-2 N2,28600,R009_037,330,16804,Composite,,1.604
IMPERIAL VALLEY,IMPERIAL VALLEY,6/29/2020,R,SARS CoV-2 N1,35200,R009_038,330,16804,Composite,,1.604
IMPERIAL VALLEY,IMPERIAL VALLEY,6/29/2020,R,SARS CoV-2 N2,29920,R009_039,330,16804,Composite,,1.604
IMPERIAL VALLEY,IMPERIAL VALLEY,6/29/2020,R,SARS CoV-2 N1,39820,R009_037,330,16804,Composite,,1.604
IMPERIAL VALLEY,IMPERIAL VALLEY,6/29/2020,R,SARS CoV-2 N2,25520,R009_038,330,16804,Composite,,1.604
IMPERIAL VALLEY,IMPERIAL VALLEY,6/29/2020,R,SARS CoV-2 N1,43340,R009_039,330,16804,Composite,,1.604
INTERCONTINENTAL AIRPORT,INTERCONTINENTAL AIRPORT,6/29/2020,R,SARS CoV-2 N1,4400,R009_042,330,2408,Composite,,1.933
INTERCONTINENTAL AIRPORT,INTERCONTINENTAL AIRPORT,6/29/2020,R,SARS CoV-2 N1,4400,R009_040,330,2408,Composite,,1.933
INTERCONTINENTAL AIRPORT,INTERCONTINENTAL AIRPORT,6/29/2020,R,SARS CoV-2 N2,2420,R009_041,330,2408,Composite,,1.933
INTERCONTINENTAL AIRPORT,INTERCONTINENTAL AIRPORT,6/29/2020,R,SARS CoV-2 N2,2640,R009_040,330,2408,Composite,,1.933
INTERCONTINENTAL AIRPORT,INTERCONTINENTAL AIRPORT,6/29/2020,R,SARS CoV-2 N1,3300,R009_041,330,2408,Composite,,1.933
INTERCONTINENTAL AIRPORT,INTERCONTINENTAL AIRPORT,6/29/2020,R,SARS CoV-2 N2,3960,R009_042,330,2408,Composite,,1.933
KEEGANS BAYOU,KEEGANS BAYOU,6/29/2020,R,SARS CoV-2 N2,20240,R009_043,330,124000,Composite,,13.012
KEEGANS BAYOU,KEEGANS BAYOU,6/29/2020,R,SARS CoV-2 N1,21560,R009_043,330,124000,Composite,,13.012
KEEGANS BAYOU,KEEGANS BAYOU,6/29/2020,R,SARS CoV-2 N2,19360,R009_045,330,124000,Composite,,13.012
KEEGANS BAYOU,KEEGANS BAYOU,6/29/2020,R,SARS CoV-2 N1,23980,R009_045,330,124000,Composite,,13.012
KEEGANS BAYOU,KEEGANS BAYOU,6/29/2020,R,SARS CoV-2 N2,18480,R009_044,330,124000,Composite,,13.012
KEEGANS BAYOU,KEEGANS BAYOU,6/29/2020,R,SARS CoV-2 N1,23540,R009_044,330,124000,Composite,,13.012
KINGWOOD CENTRAL,KINGWOOD CENTRAL,6/29/2020,R,SARS CoV-2 N1,6600,R009_048,330,52055,Composite,,3.788
KINGWOOD CENTRAL,KINGWOOD CENTRAL,6/29/2020,R,SARS CoV-2 N1,9460,R009_046,330,52055,Composite,,3.788
KINGWOOD CENTRAL,KINGWOOD CENTRAL,6/29/2020,R,SARS CoV-2 N2,7700,R009_047,330,52055,Composite,,3.788
KINGWOOD CENTRAL,KINGWOOD CENTRAL,6/29/2020,R,SARS CoV-2 N1,6600,R009_047,330,52055,Composite,,3.788
KINGWOOD CENTRAL,KINGWOOD CENTRAL,6/29/2020,R,SARS CoV-2 N2,8140,R009_046,330,52055,Composite,,3.788
KINGWOOD CENTRAL,KINGWOOD CENTRAL,6/29/2020,R,SARS CoV-2 N2,6600,R009_048,330,52055,Composite,,3.788
KINGWOOD WEST,KINGWOOD WEST,6/29/2020,R,SARS CoV-2 N1,47740,R009_049,330,2589,Composite,,0.591
