Sample_name,assay_variable,Copy #,Positives,Negatives,Accepted Droplets,Label_tube,Tube ID,biological_replicates,Target,Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,template_vol,ExptType,FractionalAbundance,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,CT
E,DI,0.198,1,13200,13201,EDI1,DI1,1,N2_multiplex,Manual,RED,,Ch1Unknown,One-Step RT-ddPCR Kit for Probes,,1.8,,,0.43,0,0,1,0,13200,0,,,,,,,,,,,,,,,,,,,,,,,,2048.2,Rare Event Detection Experiment,,,,,,,,,,,,,,,,,,9.09090909090909,Rare Event Detection,,1,1,4034,9756.5,2047.6,,,0.22,0.02,
E,DI,0,0,12258,12258,EDI2,DI2,2,N2_multiplex,Manual,RED,,Ch1Unknown,One-Step RT-ddPCR Kit for Probes,,0,,,0.29,0,0,0,8,12250,0,,,,,,,,,,,,,,,,,,,,,,,,2079.7,Rare Event Detection Experiment,,,,,,,,,,,,,,,,,,9.09090909090909,Rare Event Detection,,1,1,4034,0,2079.7,,,0.13,0,
E,DI,0,0,9127,9127,EDI3,DI3,3,N2_multiplex,Manual,RED,,Ch1Unknown,One-Step RT-ddPCR Kit for Probes,,0,,,0.39,0,0,0,2,9125,0,,,,,,,,,,,,,,,,,,,,,,,,2021.4,Rare Event Detection Experiment,,,,,,,,,,,,,,,,,,9.09090909090909,Rare Event Detection,,1,1,4034,0,2021.4,,,0.18,0,
HA,DI,0.902,5,14201,14206,HADI1,DI1,1,N1_multiplex,Manual,RED,,Ch2Unknown,One-Step RT-ddPCR Kit for Probes,,8.2,,,0.9,0.15,0,1,5,14200,0,,,,,,,,,,,,0.2,,,0.71,0,,,,52,0,,,937.03,Rare Event Detection Experiment,,,,,,,,,,,,0.44,0,,,33,0,9.09090909090909,Rare Event Detection,17,1,1,2003,6316.2,935.13,,,0.63,0.25,
HA,DI,0.792,5,16235,16240,HADI2,DI2,2,N1_multiplex,Manual,RED,,Ch2Unknown,One-Step RT-ddPCR Kit for Probes,,7.2,,,0.79,0.13,0,2,5,16233,0,,,,,,,,,,,,0.4,,,1.1,0,,,,65,0,,,934.25,Rare Event Detection Experiment,,,,,,,,,,,,0.75,0.05,,,46,11,9.09090909090909,Rare Event Detection,29,1,1,2003,6383.5,932.57,,,0.55,0.22,
HA,DI,0.902,5,14509,14514,HADI3,DI3,3,N1_multiplex,Manual,RED,,Ch2Unknown,One-Step RT-ddPCR Kit for Probes,,8.2,,,0.88,0.14,0,2,5,14507,0,,,,,,,,,,,,0.4,,,1.1,0,,,,65,0,,,932.19,Rare Event Detection Experiment,,,,,,,,,,,,0.75,0.05,,,46,11,9.09090909090909,Rare Event Detection,29,1,1,2003,5999.3,930.45,,,0.62,0.25,
D,DI,0.858,5,15094,15099,DDI1,DI1,1,N1_multiplex,Manual,RED,,Ch2Unknown,One-Step RT-ddPCR Kit for Probes,,7.8,,,0.85,0.14,0,2,5,15092,0,,,,,,,,,,,,0.4,,,1.1,0,,,,65,0,,,918.81,Rare Event Detection Experiment,,,,,,,,,,,,0.75,0.05,,,46,11,9.09090909090909,Rare Event Detection,29,1,1,2003,6387.6,916.99,,,0.59,0.24,
D,DI,0.33,2,15837,15839,DDI2,DI2,2,N1_multiplex,Manual,RED,,Ch2Unknown,One-Step RT-ddPCR Kit for Probes,,3,,,0.48,0.02,0,3,2,15834,0,,,,,,,,,,,,1.5,,,4.4,0,,,,107,13,,,927.48,Rare Event Detection Experiment,,,,,,,,,,,,2.9,0.1,,,83,37,9.09090909090909,Rare Event Detection,60,1,1,2003,6220.9,926.81,,,0.29,0.06,
D,DI,0.352,2,15158,15160,DDI3,DI3,3,N1_multiplex,Manual,RED,,Ch2Unknown,One-Step RT-ddPCR Kit for Probes,,3.2,,,0.5,0.02,0,0,2,15158,0,,,,,,,,,,,,,,,,,,,,,,,,929.22,Rare Event Detection Experiment,,,,,,,,,,,,,,,,,,9.09090909090909,Rare Event Detection,,1,1,2003,6151.9,928.54,,,0.3,0.07,
UF,DI,0.924,5,14063,14068,UFDI1,DI1,1,N1_multiplex,Manual,RED,,Ch2Unknown,One-Step RT-ddPCR Kit for Probes,,8.4,,,0.91,0.15,0,2,5,14061,0,,,,,,,,,,,,0.4,,,1.1,0,,,,65,0,,,1058.7,Rare Event Detection Experiment,,,,,,,,,,,,0.75,0.05,,,46,11,9.09090909090909,Rare Event Detection,29,1,1,2003,6692.8,1056.7,,,0.64,0.26,
