Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
Cedar Bayou,CD,5/24/21,R,417N,,50,0,0,0,0,,14106,0,0524.CD-1,,,Composite,,,,G3,,
Cedar Bayou,CD,5/24/21,R,484K,,50,0,0.57,0,0,,13558,0,0524.CD-2,,,Composite,,,,H3,1907.38,0
Cedar Bayou,CD,5/24/21,R,E484 wild-type,,50,0.38,1.22,0.06,1272.77,,13558,2,0524.CD-2,1699.7,Negative,Composite,,,,H3,4077.34,192.81
Cedar Bayou,CD,5/24/21,R,417T,,50,0,0.57,0,0,,13558,0,0524.CD-2,,,Composite,,,,H3,1907.38,0
Cedar Bayou,CD,5/24/21,R,K417 wild-type,,50,0.76,1.8,0.23,2545.72,,13558,4,0524.CD-2,1550.84,Positive,Composite,,,,H3,6003.38,768.09
Cedar Bayou,CD,5/24/21,R,417N,,50,0,0,0,0,,13558,0,0524.CD-2,,,Composite,,,,H3,,
Chocolate Bayou,CB,5/24/21,R,484K,,50,0.18,0.87,0.01,604.35,,14277,1,0524.CB-1,,,Composite,,,,E3,2886.78,25.38
Chocolate Bayou,CB,5/24/21,R,E484 wild-type,,50,0,0.54,0,0,,14277,0,0524.CB-1,1699.7,Negative,Composite,,,,E3,1810.77,0
Chocolate Bayou,CB,5/24/21,R,417T,,50,0,0.54,0,0,,14277,0,0524.CB-1,,,Composite,,,,E3,1810.77,0
Chocolate Bayou,CB,5/24/21,R,K417 wild-type,,50,0.18,0.87,0.01,604.35,,14277,1,0524.CB-1,1550.84,Negative,Composite,,,,E3,2886.78,25.38
Chocolate Bayou,CB,5/24/21,R,417N,,50,0,0,0,0,,14277,0,0524.CB-1,,,Composite,,,,E3,,
Chocolate Bayou,CB,5/24/21,R,484K,,50,0,0.71,0,0,,10890,0,0524.CB-2,,,Composite,,,,F3,2374.08,0
Chocolate Bayou,CB,5/24/21,R,E484 wild-type,,50,0,0.71,0,0,,10890,0,0524.CB-2,1699.7,Negative,Composite,,,,F3,2374.08,0
Chocolate Bayou,CB,5/24/21,R,417T,,50,0,0.71,0,0,,10890,0,0524.CB-2,,,Composite,,,,F3,2374.08,0
Chocolate Bayou,CB,5/24/21,R,K417 wild-type,,50,0,0.71,0,0,,10890,0,0524.CB-2,1550.84,Negative,Composite,,,,F3,2374.08,0
Chocolate Bayou,CB,5/24/21,R,417N,,50,0,0,0,0,,10890,0,0524.CB-2,,,Composite,,,,F3,,
Easthaven,EH,5/24/21,R,484K,,50,0,0.51,0,0,,15090,0,0524.EH-1,,,Composite,,,,A4,1713.31,0
Easthaven,EH,5/24/21,R,E484 wild-type,,50,0,0.51,0,0,,15090,0,0524.EH-1,1699.7,Negative,Composite,,,,A4,1713.2,0
Easthaven,EH,5/24/21,R,417T,,50,0,0.51,0,0,,15090,0,0524.EH-1,,,Composite,,,,A4,1713.31,0
Easthaven,EH,5/24/21,R,K417 wild-type,,50,0.17,0.82,0.01,571.79,,15090,1,0524.EH-1,1550.84,Negative,Composite,,,,A4,2731.21,24.01
Easthaven,EH,5/24/21,R,417N,,50,0,0,0,0,,15090,0,0524.EH-1,,,Composite,,,,A4,,
Easthaven,EH,5/24/21,R,484K,,50,0,0.47,0,0,,16646,0,0524.EH-2,,,Composite,,,,B4,1553.78,0
Easthaven,EH,5/24/21,R,E484 wild-type,,50,0.31,1,0.05,1037.02,,16646,2,0524.EH-2,1699.7,Negative,Composite,,,,B4,3322,157.1
Easthaven,EH,5/24/21,R,417T,,50,0,0.47,0,0,,16646,0,0524.EH-2,,,Composite,,,,B4,1553.78,0
Easthaven,EH,5/24/21,R,K417 wild-type,,50,0.16,0.74,0.01,518.49,,16646,1,0524.EH-2,1550.84,Negative,Composite,,,,B4,2476.6,21.78
Easthaven,EH,5/24/21,R,417N,,50,0,0,0,0,,16646,0,0524.EH-2,,,Composite,,,,B4,,
F.W.S.D. # 23,23,5/24/21,R,484K,,50,0,0,0,0,,16138,0,0524.23-1,,,Composite,,,,A2,,
F.W.S.D. # 23,23,5/24/21,R,E484 wild-type,,50,0.16,0.77,0.01,534.65,,16138,1,0524.23-1,1699.7,Negative,Composite,,,,A2,2553.81,22.45
F.W.S.D. # 23,23,5/24/21,R,417T,,50,0,0,0,0,,16138,0,0524.23-1,,,Composite,,,,A2,,
F.W.S.D. # 23,23,5/24/21,R,K417 wild-type,,50,0.32,1.03,0.05,1069.34,,16138,2,0524.23-1,1550.84,Negative,Composite,,,,A2,3425.57,162
F.W.S.D. # 23,23,5/24/21,R,417N,,50,0,0,0,0,,16138,0,0524.23-1,,,Composite,,,,A2,,
F.W.S.D. # 23,23,5/24/21,R,484K,,50,0,0,0,0,,15305,0,0524.23-2,,,Composite,,,,B2,,
F.W.S.D. # 23,23,5/24/21,R,E484 wild-type,,50,0.17,0.81,0.01,563.72,,15305,1,0524.23-2,1699.7,Negative,Composite,,,,B2,2692.66,23.68
F.W.S.D. # 23,23,5/24/21,R,417T,,50,0,0,0,0,,15305,0,0524.23-2,,,Composite,,,,B2,,
F.W.S.D. # 23,23,5/24/21,R,K417 wild-type,,50,0.34,1.08,0.05,1127.48,,15305,2,0524.23-2,1550.84,Negative,Composite,,,,B2,3611.83,170.8
F.W.S.D. # 23,23,5/24/21,R,417N,,50,0,0,0,0,,15305,0,0524.23-2,,,Composite,,,,B2,,
Forest Cove,FC,5/24/21,R,484K,,50,2.95,4.54,1.78,9836.84,,15800,18,0524.FC-1,,,Composite,,,,C4,15139.17,5947.21
Forest Cove,FC,5/24/21,R,E484 wild-type,,50,0,0.49,0,0,,15800,0,0524.FC-1,1699.7,Negative,Composite,,,,C4,1639.62,0
Forest Cove,FC,5/24/21,R,417T,,50,3.94,5.74,2.56,13118.28,,15800,24,0524.FC-1,,,Composite,,,,C4,19119.43,8528.98
Forest Cove,FC,5/24/21,R,K417 wild-type,,50,0.16,0.78,0.01,547.24,,15800,1,0524.FC-1,1550.84,Negative,Composite,,,,C4,2613.91,22.98
Forest Cove,FC,5/24/21,R,417N,,50,0,0,0,0,,15800,0,0524.FC-1,,,Composite,,,,C4,,
Forest Cove,FC,5/24/21,R,484K,,50,2.6,4.17,1.49,8683.31,,14919,15,0524.FC-2,,,Composite,,,,D4,13885.91,4979.1
Forest Cove,FC,5/24/21,R,E484 wild-type,,50,0.87,1.89,0.31,2898.33,,14919,5,0524.FC-2,1699.7,Positive,Composite,,,,D4,6299.31,1018.94
Forest Cove,FC,5/24/21,R,417T,,50,4.52,6.49,2.99,15056.64,,14919,26,0524.FC-2,,,Composite,,,,D4,21640.59,9968.61
Forest Cove,FC,5/24/21,R,K417 wild-type,,50,0.17,0.83,0.01,579.59,,14919,1,0524.FC-2,1550.84,Negative,Composite,,,,D4,2768.46,24.34
Forest Cove,FC,5/24/21,R,417N,,50,0,0,0,0,,14919,0,0524.FC-2,,,Composite,,,,D4,,
Greenridge,GR,5/24/21,R,484K,,50,0.46,1.23,0.11,1542.13,,16799,3,0524.GR-1,,,Composite,,,,E4,4087.76,365.97
Greenridge,GR,5/24/21,R,E484 wild-type,,50,0.31,0.99,0.05,1027.44,,16799,2,0524.GR-1,1699.7,Negative,Composite,,,,E4,3291.34,155.65
Greenridge,GR,5/24/21,R,417T,,50,0.46,1.23,0.11,1542.13,,16799,3,0524.GR-1,,,Composite,,,,E4,4087.76,365.97
Greenridge,GR,5/24/21,R,K417 wild-type,,50,2,3.31,1.1,6680.58,,16799,13,0524.GR-1,1550.84,Positive,Composite,,,,E4,11033.44,3658.77
Greenridge,GR,5/24/21,R,417N,,50,0,0,0,0,,16799,0,0524.GR-1,,,Composite,,,,E4,,
Greenridge,GR,5/24/21,R,484K,,50,0.46,1.23,0.11,1544.16,,16776,3,0524.GR-2,,,Composite,,,,F4,4093.13,366.45
Greenridge,GR,5/24/21,R,E484 wild-type,,50,0.31,0.99,0.05,1028.98,,16776,2,0524.GR-2,1699.7,Negative,Composite,,,,F4,3296.24,155.88
Greenridge,GR,5/24/21,R,417T,,50,0.62,1.46,0.19,2058.93,,16776,4,0524.GR-2,,,Composite,,,,F4,4855.24,621.23
Greenridge,GR,5/24/21,R,K417 wild-type,,50,1.54,2.72,0.77,5146.11,,16776,10,0524.GR-2,1550.84,Positive,Composite,,,,F4,9066.41,2561.86
Greenridge,GR,5/24/21,R,417N,,50,0,0,0,0,,16776,0,0524.GR-2,,,Composite,,,,F4,,
Homestead,HO,5/24/21,R,484K,,50,0,0.41,0,0,,18904,0,0524.HO-1,,,Composite,,,,G4,1367.43,0
Homestead,HO,5/24/21,R,E484 wild-type,,50,0,0.41,0,0,,18904,0,0524.HO-1,1699.7,Negative,Composite,,,,G4,1367.43,0
Homestead,HO,5/24/21,R,417T,,50,0,0.41,0,0,,18904,0,0524.HO-1,,,Composite,,,,G4,1367.43,0
Homestead,HO,5/24/21,R,K417 wild-type,,50,0,0.41,0,0,,18904,0,0524.HO-1,1550.84,Negative,Composite,,,,G4,1367.43,0
Homestead,HO,5/24/21,R,417N,,50,0,0,0,0,,18904,0,0524.HO-1,,,Composite,,,,G4,,
Homestead,HO,5/24/21,R,484K,,50,0,0.45,0,0,,17413,0,0524.HO-2,,,Composite,,,,H4,1484.61,0
Homestead,HO,5/24/21,R,E484 wild-type,,50,0,0.45,0,0,,17413,0,0524.HO-2,1699.7,Negative,Composite,,,,H4,1484.61,0
Homestead,HO,5/24/21,R,417T,,50,0,0.45,0,0,,17413,0,0524.HO-2,,,Composite,,,,H4,1484.61,0
Homestead,HO,5/24/21,R,K417 wild-type,,50,0,0.45,0,0,,17413,0,0524.HO-2,1550.84,Negative,Composite,,,,H4,1484.61,0
Homestead,HO,5/24/21,R,417N,,50,0,0,0,0,,17413,0,0524.HO-2,,,Composite,,,,H4,,
Imperial Valley,IV,5/24/21,R,484K,,50,0,0,0,0,,15736,0,0524.IV-1,,,Composite,,,,C5,,
Imperial Valley,IV,5/24/21,R,E484 wild-type,,50,0.16,0.79,0.01,548.31,,15736,1,0524.IV-1,1699.7,Negative,Composite,,,,C5,2619.06,23.03
Imperial Valley,IV,5/24/21,R,417T,,50,0,0,0,0,,15736,0,0524.IV-1,,,Composite,,,,C5,,
Imperial Valley,IV,5/24/21,R,K417 wild-type,,50,0.33,1.05,0.05,1096.66,,15736,2,0524.IV-1,1550.84,Negative,Composite,,,,C5,3513.1,166.14
Imperial Valley,IV,5/24/21,R,417N,,50,0,0,0,0,,15736,0,0524.IV-1,,,Composite,,,,C5,,
Imperial Valley,IV,5/24/21,R,484K,,50,0,0,0,0,,15317,0,0524.IV-2,,,Composite,,,,D5,,
Imperial Valley,IV,5/24/21,R,E484 wild-type,,50,0,0.51,0,0,,15317,0,0524.IV-2,1699.7,Negative,Composite,,,,D5,1687.69,0
Imperial Valley,IV,5/24/21,R,417T,,50,0,0,0,0,,15317,0,0524.IV-2,,,Composite,,,,D5,,
Imperial Valley,IV,5/24/21,R,K417 wild-type,,50,0,0.51,0,0,,15317,0,0524.IV-2,1550.84,Negative,Composite,,,,D5,1687.69,0
Imperial Valley,IV,5/24/21,R,417N,,50,0,0,0,0,,15317,0,0524.IV-2,,,Composite,,,,D5,,
Intercontinental Airport,IA,5/24/21,R,484K,,50,0,0,0,0,,14803,0,0524.IA-1,,,Composite,,,,A5,,
Intercontinental Airport,IA,5/24/21,R,E484 wild-type,,50,0.35,1.12,0.05,1165.71,,14803,2,0524.IA-1,1699.7,Negative,Composite,,,,A5,3734.34,176.6
Intercontinental Airport,IA,5/24/21,R,417T,,50,0,0,0,0,,14803,0,0524.IA-1,,,Composite,,,,A5,,
Intercontinental Airport,IA,5/24/21,R,K417 wild-type,,50,0.87,1.9,0.31,2914.58,,14803,5,0524.IA-1,1550.84,Positive,Composite,,,,A5,6334.64,1024.65
Intercontinental Airport,IA,5/24/21,R,417N,,50,0,0,0,0,,14803,0,0524.IA-1,,,Composite,,,,A5,,
Intercontinental Airport,IA,5/24/21,R,484K,,50,0,0,0,0,,17474,0,0524.IA-2,,,Composite,,,,B5,,
Intercontinental Airport,IA,5/24/21,R,E484 wild-type,,50,0.89,1.82,0.35,2963.06,,17474,6,0524.IA-2,1699.7,Positive,Composite,,,,B5,6057.59,1160.41
Intercontinental Airport,IA,5/24/21,R,417T,,50,0,0,0,0,,17474,0,0524.IA-2,,,Composite,,,,B5,,
Intercontinental Airport,IA,5/24/21,R,K417 wild-type,,50,1.04,2.02,0.44,3457.01,,17474,7,0524.IA-2,1550.84,Positive,Composite,,,,B5,6733.55,1468.56
Intercontinental Airport,IA,5/24/21,R,417N,,50,0,0,0,0,,17474,0,0524.IA-2,,,Composite,,,,B5,,
Keegans Bayou,KB,5/24/21,R,484K,,50,0,0,0,0,,17017,0,0524.KB-1,,,Composite,,,,E5,,
Keegans Bayou,KB,5/24/21,R,E484 wild-type,,50,0.15,0.73,0.01,507.06,,17017,1,0524.KB-1,1699.7,Negative,Composite,,,,E5,2422.01,21.3
Keegans Bayou,KB,5/24/21,R,417T,,50,0,0,0,0,,17017,0,0524.KB-1,,,Composite,,,,E5,,
