Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
Beltway,BW,07/05/21,R,417T,,50,0.16,0.77,0.01,537.45,,16104,1,0705.BW-1,1485.82,Negative,Composite,,,,C3,2567.17,22.57
Beltway,BW,07/05/21,R,K417 wild-type,,50,6.76,9.03,4.91,22537.2,,16104,42,0705.BW-1,1467.28,Positive,Composite,,,,C3,30086.91,16373.33
Beltway,BW,07/05/21,R,417N,,50,0,0.48,0,0,,16104,0,0705.BW-1,1770.1,Negative,Composite,,,,C3,1610.41,0
Beltway,BW,07/05/21,R,484K,,50,0.16,0.78,0.01,541.57,,16001,1,0705.BW-2,1409.83,Negative,Composite,,,,D3,2586.84,22.75
Beltway,BW,07/05/21,R,E484 wild-type,,50,1.3,2.43,0.59,4316.96,,16001,8,0705.BW-2,1849.91,Positive,Composite,,,,D3,8084.74,1954.24
Beltway,BW,07/05/21,R,417T,,50,0.49,1.29,0.12,1624.6,,16001,3,0705.BW-2,1485.82,Positive,Composite,,,,D3,4306.41,385.54
Beltway,BW,07/05/21,R,K417 wild-type,,50,8.92,11.5,6.76,29722.84,,16001,55,0705.BW-2,1467.28,Positive,Composite,,,,D3,38318.3,22524.3
Beltway,BW,07/05/21,R,417N,,50,0,0.49,0,0,,16001,0,0705.BW-2,1770.1,Negative,Composite,,,,D3,1622.74,0
Cedar Bayou,CD,07/05/21,R,484K,,50,0,0.42,0,0,,18498,0,0705.CD-1,1409.83,Negative,Composite,,,,G3,1401.84,0
Cedar Bayou,CD,07/05/21,R,E484 wild-type,,50,2.94,4.39,1.85,9802.6,,18498,21,0705.CD-1,1849.91,Positive,Composite,,,,G3,14639.38,6171.54
Cedar Bayou,CD,07/05/21,R,417T,,50,0,0.42,0,0,,18498,0,0705.CD-1,1485.82,Negative,Composite,,,,G3,1401.84,0
Cedar Bayou,CD,07/05/21,R,K417 wild-type,,50,5.74,7.69,4.16,19148.77,,18498,41,0705.CD-1,1467.28,Positive,Composite,,,,G3,25647.05,13855.72
Cedar Bayou,CD,07/05/21,R,417N,,50,0,0.42,0,0,,18498,0,0705.CD-1,1770.1,Negative,Composite,,,,G3,1401.84,0
Cedar Bayou,CD,07/05/21,R,484K,,50,0,0.43,0,0,,18167,0,0705.CD-2,1409.83,Negative,Composite,,,,H3,1426.52,0
Cedar Bayou,CD,07/05/21,R,E484 wild-type,,50,2.42,3.77,1.44,8078.8,,18167,17,0705.CD-2,1849.91,Positive,Composite,,,,H3,12579.61,4806.93
Cedar Bayou,CD,07/05/21,R,417T,,50,0,0.43,0,0,,18167,0,0705.CD-2,1485.82,Negative,Composite,,,,H3,1426.52,0
Cedar Bayou,CD,07/05/21,R,K417 wild-type,,50,5.14,7.01,3.63,17117.02,,18167,36,0705.CD-2,1467.28,Positive,Composite,,,,H3,23358.44,12102.97
Cedar Bayou,CD,07/05/21,R,417N,,50,0.29,0.92,0.04,952.15,,18167,2,0705.CD-2,1770.1,Negative,Composite,,,,H3,3050.11,144.24
Chocolate Bayou,CB,07/05/21,R,484K,,50,0.15,0.71,0.01,497.99,,17379,1,0705.CB-1,1409.83,Negative,Composite,,,,E3,2378.67,20.92
Chocolate Bayou,CB,07/05/21,R,E484 wild-type,,50,0.45,1.18,0.11,1489.93,,17379,3,0705.CB-1,1849.91,Negative,Composite,,,,E3,3949.38,353.59
Chocolate Bayou,CB,07/05/21,R,417T,,50,0.15,0.71,0.01,497.99,,17379,1,0705.CB-1,1485.82,Negative,Composite,,,,E3,2378.67,20.92
Chocolate Bayou,CB,07/05/21,R,K417 wild-type,,50,7.16,9.39,5.32,23869.84,,17379,48,0705.CB-1,1467.28,Positive,Composite,,,,E3,31301.37,17722.52
Chocolate Bayou,CB,07/05/21,R,417N,,50,0.3,0.96,0.05,995.95,,17379,2,0705.CB-1,1770.1,Negative,Composite,,,,E3,3190.45,150.88
